Bifidobacterium vaginale group,Lactobacillus crispatus group,Lactobacillus gasseri group,Lactobacillus iners group,Lactobacillus jensenii group,"Bifidobacterium breve group,Prevotella bivia group,Prevotella timonensis group","Megasphaera,Prevotella bivia group,Prevotella timonensis group,Sneathia",Clostridium,"Streptococcus,Veillonella",sample_id
2.7402117766450843e-4,7.56646183061215e-4,3.045895844954057e-6,0.9935927012101367,3.0458960161010513e-6,0.0013896793513995564,3.0459037105430795e-6,3.0458963129691286e-6,0.003974768485853567,s111
0.001766406922685368,0.8050280439470701,2.986645214833137e-6,0.026286884218571796,0.014061419267324736,0.11072007124454092,2.9866551638672294e-6,0.011923039604508912,0.030208161494919554,s1118
0.6813527257638305,8.961715658100938e-4,3.553396499343035e-6,4.113831161433205e-4,3.5533963334668772e-6,3.5534028251281045e-6,0.30634124881420066,3.5533970890133442e-6,0.010984257147268382,s1119
7.473216815706212e-6,0.01582194769021159,0.008333703339321518,0.0014471478517076879,7.473217219985017e-6,0.9653450331315115,7.473217456549069e-6,0.004424462587441113,0.004605285748314282,s112
1.7224743898966466e-6,0.6872293233483598,1.7224744082898097e-6,0.27967211653276997,0.01833279013158743,0.009788146522732747,4.757311420682013e-4,1.722474788066066e-6,0.004496724898895666,s1120
2.072254197147556e-6,0.9738506785453461,2.072254178530424e-6,2.0722541955708286e-6,0.016322914196180954,0.0017307466330118188,0.0012033345442592734,0.006884037063451545,2.072255178957577e-6,s113
2.672590330248672e-6,0.0010633560977957918,0.45669011698622114,0.34772092416141465,2.67259039693317e-6,2.6725919829369616e-6,2.6725911142658843e-6,0.1945122397993195,2.672591424518443e-6,s114
0.003941765380640091,0.7776935759287074,0.21263254141852586,0.0051060590230432076,8.249009005451626e-6,8.249042977949382e-6,5.930621530194702e-4,8.249008991422471e-6,8.24903508924052e-6,s115
2.1121788853368115e-6,0.9551582992097783,2.112178917942805e-6,2.1121789042744675e-6,0.0027682442119885435,2.1121808667054875e-6,2.112178958767686e-6,0.04206078350175534,2.112179944730621e-6,s116
2.5439012982392137e-5,0.4192862928798213,2.54390086722545e-5,0.36525227800858706,2.5439015173316672e-5,0.013192211444497733,2.5439041137755574e-5,2.543903043650641e-5,0.2021420225586917,s1161
0.23827417014181682,4.646888834070194e-4,1.8189199061545004e-6,1.7665426541010136e-4,1.8189198790217665e-6,1.8189258372934784e-6,0.7610753921027925,1.8189199101319638e-6,1.8189210408923534e-6,s117
0.055403802562870454,0.717921033305444,2.4989822009609995e-6,0.10280796878297166,0.013681782268816382,0.005465609209731357,0.076422327922537725,2.49898284527164e-6,0.028292477982582238,s1174
3.9082524587285725e-6,0.46698349099783326,3.908252660316433e-6,0.013117281004389544,3.9082524727363205e-6,3.908266578075294e-6,3.908263583937347e-6,3.9082527279164105e-6,0.5198757784572955,s118
